A corpse,Fire,50,0,0,0,0,0,0,0,15165,10,Crush,0,90,90,90,90,1,1,4
A Doubt,,,0,0,0,0,0,0,0,3477,8,Crush,0,59,72,58,85,1,1,6
Aberrant spectre,Air,50,0,20,20,20,-15,15,15,"2,3,4,5,6,7","8,14 (without Nose peg)",Magic,0,90,1,1,90,105,1,4
Abhorrent spectre,Air,50,0,40,40,40,-30,30,30,7402,31,Magic,0,250,1,1,180,300,1,4
Abomination,,,20,80,80,80,180,180,180,"8260,8261,8262",23,"Slash,Ranged",0,200,110,110,110,110,110,5
Abyssal antibody,,,0,0,0,0,0,0,0,12372,1,Crush,0,50,1,1,1,1,1,4
Abyssal demon#Catacombs of Kourend,,,0,20,20,20,20,20,20,7241,8,Stab,0,150,97,67,135,1,1,4
Abyssal demon#Standard,,,0,20,20,20,20,20,20,"415,416",8,Stab,0,150,97,67,135,1,1,4
Abyssal demon#Wilderness Slayer Cave,,,0,20,20,20,20,20,20,11239,8,Stab,0,150,97,67,135,1,1,4
Abyssal guardian,,,150,0,70,70,70,0,0,2585,11,"Stab,Magic",0,50,30,90,30,1,1,4
Abyssal leech,,,50,0,50,50,10,0,0,2584,2,Slash,0,10,95,5,25,1,1,2
Abyssal leech (The Scar)#Level 32,,,50,10,50,50,10,10,10,12393,2,Slash,0,50,50,10,1,1,1,2
Abyssal leech (The Scar)#Level 46,,,0,0,0,0,0,0,0,12366,1,Crush,0,30,1,1,1,1,1,2
Abyssal leech (The Scar)#Level 54,,,50,100,50,50,10,10,10,12391,2,Slash,0,20,120,10,30,1,1,2
Abyssal portal#Challenge Mode,Fire,50,60,0,0,0,140,110,140,7533,0,None,0,370,1,1,264,264,1,2
Abyssal portal#Normal,Fire,50,60,0,0,0,140,110,140,7533,0,None,0,250,1,1,176,176,1,2
Abyssal Sire#Phase 1,,,20,50,40,60,60,60,60,"5886,5887,5888","66 (Melee),96 (with explosion)",Melee,0,425,180,136,250,200,1,7
Abyssal Sire#Phase 2,,,20,50,40,60,60,60,60,"5889,5890","66 (Melee),96 (with explosion)",Melee,0,425,180,136,250,200,1,7
Abyssal Sire#Phase 3 (stage 1),,,20,50,40,60,60,60,60,5891,"66 (Melee),96 (with explosion)",Melee,0,425,180,136,250,200,1,7
Abyssal Sire#Phase 3 (stage 2),,,-40,25,20,30,30,30,30,5908,"66 (Melee),96 (with explosion)",Melee,0,425,180,136,250,200,1,7
Abyssal walker,,,75,0,75,75,75,0,0,2586,13,Crush,0,95,5,100,95,1,1,5
Abyssal walker (The Scar)#Level 109,,,75,10,75,75,75,75,75,12392,18,Crush,0,120,20,150,95,1,1,5
Abyssal walker (The Scar)#Level 90,,,75,10,75,75,75,75,75,12394,18,Crush,0,120,20,150,20,1,1,5
Acidic Araxyte,Fire,50,-10,25,25,25,25,25,25,13675,15,Ranged,0,58,150,120,50,1,60,6
Acidic Bloodveld,,,-100,-100,-100,-100,-100,-100,-100,9573,50,Magic,0,5,80,46,2,1,1,4
Adala,,,0,0,0,0,0,0,0,13824,4,Crush,0,60,50,30,10,5,1,4
Adamant dragon,Earth,50,30,85,20,110,95,65,95,"8030,8090","29 (Melee),20 (Ranged),20 (Magic),50 (Dragonfire),25 (Poison special)","Slash,Ranged,Magic,Dragonfire",0,295,280,280,272,186,186,4
Afflicted#Level 30,,,0,0,0,0,0,0,0,1298,3,Crush,0,24,24,24,34,1,1,4
Afflicted#Level 32,,,0,0,0,0,0,0,0,1297,4,Crush,0,26,26,26,36,1,1,4
Afflicted#Level 34,,,0,0,0,0,0,0,0,1294,4,Crush,0,28,28,28,38,1,1,4
Afflicted#Level 37,,,0,0,0,0,0,0,0,1293,4,Crush,0,30,30,30,40,1,1,4
Agile Scarab,,,0,0,0,0,0,0,0,11727,5,Ranged,0,30,60,20,5,30,40,4
Agile Warrior,,,0,0,0,0,0,0,0,13483,3,Crush,0,30,25,25,80,1,80,4
Agrith Naar,Water,25,0,0,0,0,0,0,0,911,"10 (Crush),10 (Magic)","Crush,Magic",0,95,83,90,82,100,100,4
Agrith Naar (Nightmare Zone)#Hard Mode,Water,25,0,0,0,0,0,0,0,6327,"21 (Crush),10 (Magic)","Crush,Magic",0,209,182,198,82,220,220,4
Agrith Naar (Nightmare Zone)#Normal Mode,Water,25,0,0,0,0,0,0,0,6388,"10 (Crush),10 (Magic)","Crush,Magic",0,95,83,90,82,100,100,4
Agrith-Na-Na,,,100,60,100,100,100,60,100,4880,16,"Crush,Magic",0,200,83,150,82,100,100,4
Agrith-Na-Na (Nightmare Zone)#Hard Mode,,,100,60,100,100,100,60,100,6308,"31 (melee),16 (magic)",Magic,0,255,166,300,82,200,200,4
Agrith-Na-Na (Nightmare Zone)#Normal Mode,,,100,60,100,100,100,60,100,6369,"16 (melee),16 (magic)",Magic,0,200,83,150,82,100,100,4
Ahrim the Blighted,Air,50,73,117,103,85,0,0,0,1672,20,Magic,0,100,1,1,100,100,1,6
Air elemental,Air,30,0,0,0,0,0,0,0,1369,3,Stab,0,30,40,20,30,40,20,4
Air wizard,,,15,0,0,0,0,0,0,1559,1,Magic,0,25,5,5,10,10,0,4
Akkha,,,10,120,60,120,60,60,60,"11789,11790,11791,11792,11793,11794,11795,11796",55,"Slash,Magic,Ranged",0,400,100,140,80,100,100,6
Akkha's Shadow,Air,60,10,120,60,120,60,60,60,"11797,11798,11799",22,None,0,70,100,140,30,100,100,6
Al Kharid warrior,,,-1,10,12,15,12,12,12,3292,2,Slash,0,19,7,5,4,1,1,4
Albatross,,,0,0,0,0,25,10,20,15224,10,Stab,0,135,100,90,60,1,0,4
Albino bat,Air,40,0,0,0,0,0,0,0,1039,7,Stab,0,33,57,57,30,1,1,4
